ticker;nm_empresa;cnpj;setor_economico;subsetor;segmento;dt_abertura;matriz.empresaMatriz;cd_cnae_principal;de_cnae_principal;de_ramo_atividade;de_setor;endereco_cep;endereco_municipio;endereco_uf;endereco_regiao;endereco_mesorregiao;situacao_cadastral;nivel_atividade;empresa_porte;saude_tributaria;optante_simples;optante_simei
HAGA3, HAGA4;HAGA S/A;30540991000166;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;PRODUTOS PARA CONSTRUÇÃO;1966-09-08;True;2542000,0;FABRICACAO DE ARTIGOS DE SERRALHERIA EXCETO ESQUADRIAS;SIDERURGICA-METALURGIA;INDUSTRIA;28605220,0;NOVA FRIBURGO;RJ;SUDESTE;CENTRO FLUMINENSE;ATIVA;ALTO;GRANDE;VERDE;False;False
PTBL3;PORTOBELLO;83475913000191;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;PRODUTOS PARA CONSTRUÇÃO;1977-10-17;True;2342701,0;FABRICACAO DE AZULEJOS E PISOS;QUIMICA-PETROQUIMICA;INDUSTRIA;88200000,0;TIJUCAS;SC;SUL;GRANDE FLORIANOPOLIS;ATIVA;ALTO;GRANDE;CINZA;False;False
AZEV3, AZEV4;AZEVEDO;61351532000168;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;CONSTRUÇÃO PESADA;1966-07-19;True;4211101,0;CONSTRUCAO DE RODOVIAS E FERROVIAS;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;2955080,0;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA;ALTO;GRANDE;VERMELHO;False;False
SOND3, SOND5, SOND6;SONDOTECNICA;33386210000119;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;ENGENHARIA CONSULTIVA;1973-06-11;True;7112000,0;SERVICOS DE ENGENHARIA;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;22270900,0;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA;ALTO;GRANDE;VERMELHO;False;False
TCNO3, TCNO4;TECNOSOLO;33111246000190;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;ENGENHARIA CONSULTIVA;1966-08-11;True;4391600,0;OBRAS DE FUNDACOES;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;22713010,0;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA;ALTO;GRANDE;CINZA;False;False
MILS3;MILLS;27093558000115;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;SERVIÇOS DIVERSOS;1981-01-27;True;7732202,0;ALUGUEL DE ANDAIMES;SERVICOS ADMINISTRATIVOS;SERVICOS;22713002,0;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA;ALTO;GRANDE;VERMELHO;False;False
EMBR3;EMBRAER;7689002000189;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL AERONÁUTICO E DE DEFESA;2005-09-08;True;3041500,0;FABRICACAO DE AERONAVES;INDUSTRIA AUTOMOTIVA;INDUSTRIA;12227901,0;SAO JOSE DOS CAMPOS;SP;SUDESTE;VALE DO PARAIBA PAULISTA;ATIVA;ALTO;GRANDE;VERMELHO;False;False
FRAS3;FRAS-LE;88610126000129;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;1966-08-01;True;2943300,0;FABRICACAO DE PECAS E ACESSORIOS PARA O SISTEMA DE FREIOS DE VEICULOS AUTOMOTORES;INDUSTRIA AUTOMOTIVA;INDUSTRIA;95115550,0;CAXIAS DO SUL;RS;SUL;NORDESTE RIO GRANDENSE;ATIVA;ALTO;GRANDE;VERDE;False;False
POMO4, POMO3;MARCOPOLO;88611835000129;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;1966-08-08;True;2920401,0;FABRICACAO DE CAMINHOES E ONIBUS;INDUSTRIA AUTOMOTIVA;INDUSTRIA;95086200,0;CAXIAS DO SUL;RS;SUL;NORDESTE RIO GRANDENSE;ATIVA;ALTO;GRANDE;VERMELHO;False;False
RAPT4, RAPT3;RANDON PART;89086144000116;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;1976-11-09;False;2930101,0;FABRICACAO DE CABINES CARROCERIAS E REBOQUES PARA CAMINHOES;INDUSTRIA AUTOMOTIVA;INDUSTRIA;95055010,0;CAXIAS DO SUL;RS;SUL;NORDESTE RIO GRANDENSE;ATIVA;ALTO;GRANDE;CINZA;False;False
RCSL3, RCSL4;RECRUSUL;91333666000117;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;1970-07-06;True;2930101,0;FABRICACAO DE CABINES CARROCERIAS E REBOQUES PARA CAMINHOES;INDUSTRIA AUTOMOTIVA;INDUSTRIA;93212360,0;SAPUCAIA DO SUL;RS;SUL;METROPOLITANA DE PORTO ALEGRE;ATIVA;ALTO;GRANDE;CINZA;False;False
RSUL3, RSUL4;RIOSULENSE;85778074000106;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;1966-01-31;True;2941700,0;FABRICACAO DE PECAS E ACESSORIOS PARA O SISTEMA MOTOR DE VEICULOS AUTOMOTORES;INDUSTRIA AUTOMOTIVA;INDUSTRIA;89164910,0;RIO DO SUL;SC;SUL;VALE DO ITAJAI;ATIVA;ALTO;GRANDE;CINZA;False;False
TUPY3;TUPY;84683374000149;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;1966-08-03;False;4685100,0;COMERCIO ATACADISTA DE PRODUTOS SIDERURGICOS E METALURGICOS EXCETO PARA CONSTRUCAO;ATACADO;COMERCIO;4548005,0;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA;ALTO;GRANDE;AMARELA;False;False
MWET3, MWET4;WETZEL S/A;84683671000194;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;1966-08-04;True;2941700,0;FABRICACAO DE PECAS E ACESSORIOS PARA O SISTEMA MOTOR DE VEICULOS AUTOMOTORES;INDUSTRIA AUTOMOTIVA;INDUSTRIA;89219600,0;JOINVILLE;SC;SUL;NORTE CATARINENSE;ATIVA;ALTO;GRANDE;CINZA;False;False
SHUL4, SHUL3;SCHULZ;84693183000168;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MOTORES, COMPRESSORES E OUTROS;1966-09-22;True;2814301,0;FABRICACAO DE COMPRESSORES PARA USO INDUSTRIAL PECAS E ACESSORIOS;SIDERURGICA-METALURGIA;INDUSTRIA;89219530,0;JOINVILLE;SC;SUL;NORTE CATARINENSE;ATIVA;ALTO;GRANDE;VERMELHO;False;False
WEGE3;WEG;84429695000111;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MOTORES, COMPRESSORES E OUTROS;1969-05-29;True;6462000,0;HOLDINGS DE INSTITUICOES NAO FINANCEIRAS;BENS DE CAPITAL;SERVICOS;89256900,0;JARAGUA DO SUL;SC;SUL;NORTE CATARINENSE;ATIVA;ALTO;GRANDE;CINZA;False;False
EALT3, EALT4;ACO ALTONA;82643537000134;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;1971-05-07;True;2451200,0;FUNDICAO DE FERRO E ACO;SIDERURGICA-METALURGIA;INDUSTRIA;89030900,0;BLUMENAU;SC;SUL;VALE DO ITAJAI;ATIVA;ALTO;MEDIA;VERDE;False;False
BDLL4, BDLL3;BARDELLA;60851615000153;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;1971-02-15;True;2822402,0;FABRICACAO DE MAQUINAS EQUIPAMENTOS E APARELHOS PARA TRANSPORTE E ELEVACAO DE CARGAS PECAS E ACESSORIOS;SIDERURGICA-METALURGIA;INDUSTRIA;7220902,0;GUARULHOS;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA;ALTO;GRANDE;VERMELHO;False;False
ROMI3;INDS ROMI;56720428000163;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;1966-07-12;False;2840200,0;FABRICACAO DE MAQUINAS FERRAMENTA PECAS E ACESSORIOS;SIDERURGICA-METALURGIA;INDUSTRIA;13453900,0;SANTA BARBARA D OESTE;SP;SUDESTE;CAMPINAS;ATIVA;ALTO;GRANDE;VERMELHO;False;False
