cnpj;optante_simples;optante_simei
33818514000108;FALSE;FALSE
33839910000111;FALSE;FALSE
33851161000148;TRUE;TRUE
33875234000131;TRUE;FALSE
33876229000143;TRUE;TRUE
33911667000103;TRUE;TRUE
33914833000117;TRUE;FALSE
33948964000115;TRUE;TRUE
33966230000169;TRUE;FALSE
33966327000171;TRUE;TRUE
33978172000355;FALSE;FALSE
34017833000187;TRUE;TRUE
34055658000112;TRUE;TRUE
34114508000132;TRUE;TRUE
34140132000130;TRUE;TRUE
34147402000135;TRUE;TRUE
34234562000111;TRUE;TRUE
34419728000174;TRUE;TRUE
34509375000101;TRUE;FALSE
34514036000105;TRUE;TRUE
34526084000113;FALSE;FALSE
34555370000107;TRUE;FALSE
34598776000177;TRUE;TRUE
34651734000152;TRUE;TRUE
34658709000109;TRUE;TRUE
34669017000158;TRUE;TRUE
34670717000162;FALSE;FALSE
34671367000159;TRUE;TRUE
34675104000118;TRUE;TRUE
34675972000106;TRUE;TRUE
34691259000148;TRUE;TRUE
34740824000110;TRUE;TRUE
34822787000199;TRUE;FALSE
34844672000103;TRUE;TRUE
34897728000180;FALSE;FALSE
34904272000138;TRUE;FALSE
34909266000173;TRUE;TRUE
34927093000116;TRUE;TRUE
34933310000180;TRUE;TRUE
34938540000132;TRUE;TRUE
34968928000186;TRUE;FALSE
34973877000180;TRUE;TRUE
34975279000140;TRUE;TRUE
34988227000109;TRUE;TRUE
35005208000188;TRUE;TRUE
35038400000170;TRUE;FALSE
35124696000142;TRUE;TRUE
35154003000164;TRUE;TRUE
35162229000107;TRUE;TRUE
35268155000198;TRUE;TRUE
35313169000186;TRUE;TRUE
35326723000160;TRUE;TRUE
35364910000138;TRUE;FALSE
35369673000106;TRUE;FALSE
35381514000119;TRUE;TRUE
35399235000182;TRUE;TRUE
35402400000108;TRUE;TRUE
35441461000184;TRUE;TRUE
35478626000192;TRUE;TRUE
35479858000165;TRUE;TRUE
35503396000174;TRUE;TRUE
35586384000150;TRUE;TRUE
35614719000105;FALSE;FALSE
35632867000144;TRUE;TRUE
35729273000156;TRUE;FALSE
35741295000131;TRUE;TRUE
35797136000159;TRUE;TRUE
35824684000120;TRUE;FALSE
35843569000101;TRUE;TRUE
35865316000120;TRUE;FALSE
35917664000102;TRUE;TRUE
35935974000141;TRUE;TRUE
35936365000107;FALSE;FALSE
35980428000122;TRUE;TRUE
35981313000152;TRUE;TRUE
36050141000166;TRUE;TRUE
36074476000114;TRUE;TRUE
36097493000177;TRUE;TRUE
36118413000112;TRUE;TRUE
36125132000197;TRUE;TRUE
36127144000150;TRUE;TRUE
36157096000143;TRUE;TRUE
36158852000159;TRUE;TRUE
36163853000191;TRUE;FALSE
36175421000109;TRUE;TRUE
36191569000129;TRUE;FALSE
36197533000152;TRUE;TRUE
36206366000169;TRUE;TRUE
36232561000163;TRUE;TRUE
36242123000186;TRUE;TRUE
36287971000101;TRUE;TRUE
36305421000178;TRUE;TRUE
36314032000109;TRUE;TRUE
36318105000130;TRUE;TRUE
36324781000117;TRUE;TRUE
36330400000102;TRUE;TRUE
36365067000177;TRUE;TRUE
36383860000107;TRUE;TRUE
36452374000195;TRUE;TRUE
36464511000101;TRUE;TRUE
36468781000190;TRUE;TRUE
36473923000108;;
36512700000102;TRUE;TRUE
36528397000136;TRUE;TRUE
36529590000191;TRUE;TRUE
36537805000116;FALSE;FALSE
36540386000171;;
36551469000166;TRUE;TRUE
36587112000138;TRUE;TRUE
36589710000146;TRUE;TRUE
36607479000176;TRUE;TRUE
36612368000158;TRUE;TRUE
36623843000191;TRUE;TRUE
36658601000133;TRUE;FALSE
36660984000184;TRUE;TRUE
36666353000172;TRUE;FALSE
36695645000133;TRUE;TRUE
36706385000154;TRUE;TRUE
36743346000127;TRUE;TRUE
36761122000148;TRUE;TRUE
36763868000190;TRUE;FALSE
36774442000132;FALSE;FALSE
36793682000184;TRUE;TRUE
36839235000119;TRUE;TRUE
36870142000157;TRUE;TRUE
36882202000151;TRUE;TRUE
36889925000182;TRUE;TRUE
36906290000184;FALSE;FALSE
36909733000190;TRUE;TRUE
36947201000148;TRUE;TRUE
36950726000132;FALSE;FALSE
36983547000100;TRUE;TRUE
37092245000104;TRUE;TRUE
37118515000109;TRUE;TRUE
37134636000136;TRUE;TRUE
37138297000166;TRUE;TRUE
37138785000173;TRUE;TRUE
37144734000154;TRUE;TRUE
37153024000190;TRUE;TRUE
37167672000104;TRUE;FALSE
37168484000192;TRUE;FALSE
37189889000450;;
37191288000139;TRUE;FALSE
37227502000160;TRUE;TRUE
37248186000102;TRUE;TRUE
